No,Date,When,Position,Company,Min Exp,Max Exp,Skills
1,14/03/22,30,Data Management Executive,Special Work & Technology Limited,3,5,"Data Cleansing, Analytical Skills, English, MS SQL, VLOOKUP, Standardization, Written Communication, Data Management Executive, Data Enrichment, Microsoft Excel"
2,14/03/22,30,Analyst,IDS-Argus Healthcare Services ,2,5,"English, Pivot Table, Listening Skills, Vlookup, Analytical, Associate, Night Shift, Microsoft Excel, Information Analyst"
3,14/03/22,30,Online Bidder,Webspin Technologies,1,4,"Online Marketing, Marketing Online, Online Sales, Odesk, Business, Business Devlopment, Web Development, Portal, Sales It, Elance"
4,14/03/22,26,Business Analyst,Carbyne Tech India,8,12,"Product Strategy, C#, Product Implementation, Business Analyst, Product Roadmap, .Net, SQL"
5,14/03/22,30,"Sr, Business Analyst",Seven Consultancy,3,6,"Customer Acquisition, Statistical Modeling, Google Analytics, Data Management, Business Analyst, Business Analysis, Analytical, Data Analyst, Data Analytics, Python"
6,14/03/22,30,Business Analyst,Experionglobal,3,5,"Business Process, Manaual Testing, PDF, Database Management, Analytical, Workflow, Test Cases, Manager Quality Control, User Acceptance Testing, Operations"
7,14/03/22,10,Property,Novel Office,0,3,"Night Shift, Analytics, Business Research, Operations, Business Analyst, Analysis, Real Estate,  Business Analysis, Market Research, Us Process, Competitive Intelligence, Property Management"
8,14/03/22,30,IT Business Analyst,LinuxBean Solution,0,2,"IT Business Analyst, Negotiation, Bidding, Sales, Sales Lead Generation, Client Coordination, Written Communication, Software Sales, Comm, Business Executive"
9,14/03/22,30,Customer Support,RSN Infotech,4,8,"Product, Operations, Automation, Product Management, Development, Design, Analysis, Customer Support "
10,14/03/22,30,Business Analyst,Brandmuscle,3,6,"Product Management, Business Analysis, Analytical, Agile, Workflow, HTML, JIRA, Testing, Sql,  Software Project Management"
11,14/03/22,30,Business Analyst,Convergence IT Services,2,7,"Business Process, Excel, Test Scripts, Business Analyst, Test Scenarios, MS Word, Management, Information Technology, Testing"
12,14/03/22,30,Business Analyst,Scientific Web,2,5,"Analytical Skills, POP, Business Analyst, Online Marketing, Internet Marketing, Customer Support, Cost Estimation, Monitoring, CRM, Marketing"
13,14/03/22,1,Data Analyst,Vinayak Solutions,1,4,"Lookml Coding, Tableau, Data Analysis, Lookml Transcription, Lookml, Looker, Data Analyst, Sql"
14,14/03/22,30,Applied Intelligence,Accenture,2,5,"Manager Technology, Predictive Modeling, Professional Services, Networking, Consulting, Analytics"
15,14/03/22,30,Modeling Senior Analyst,Accenture,4,6,"Business Analytics, Marketing Communication, Macros, Business Intelligence, VBA, SQL Queries, Advanced Excel, Dashboards, Operations Leadership, Sales Analytics"
16,14/03/22,30,Applied Intelligence,Accenture,3,6,"Manager Technology, Predictive Modeling, Analytics, Networking, Consulting, Professional, Statistics"
17,14/03/22,30,Machine Learning,Career Maker,7,11,"Java, NLP, Machine Learning, C++, Information Extraction, Perl, Text Classification, Algorithm, Data Structure, Python"
18,14/03/22,30,Machine Leaning Development,Career Maker,5,10,"Java, C++, Machine Learning, Predictive, R, Data Management, Data Mining, Perl, Data Modeling, Python, Matlab"
19,14/03/22,30,Machine Learning,Career Maker,4,8,"NLP, DNN, Machine Learning, Speech Recognition, C++, GMN, Neural Networks, HMM, SVM, Python"
20,14/03/22,30,Analytics,Accenture,2,5,"Customer Analytics, Data Management, Data Governance, Digital Analytics, Artificial Intelligence, Consulting, Machine Learning, Issue Resolution, Professional Services, Digital Marketing"
21,14/03/22,30,Lead Data Science Engineer,Huquo Consulting,2,7,"Data Science, NLP, Algorithm, Github, Data Scientist, Data Management, Nerual Networks, Jira, Machine Learning, Python"
22,14/03/22,30,Senior Analyst,Accenture,5,8,"Automation, Consulting, Manager Technology, Sales, Senior Analyst, Management, Individual Contributor"
23,14/03/22,30,Applied Intelligence,Accenture,1,3,"Retail Analytics, spark, Python, Data Analysis, SAS, Power Bi, Tableau, Forecasting, Deep Learning, SQL, Hive, R, Data Management, Machine Learning, Decision Trees"
24,14/03/22,30,Applied Intelligence,Accenture,3,6,"Networking, Consulting, Analytics, Technology, Predictive Modeling, Professional Services"
25,14/03/22,44,Manager Data Science,Highradius,10,20,"Pycharm, Data Science, Jupiter, Tensorflow, Azure, Data Engineering, Feature Engineering, Machine Learning, Pythoch, Yolo, Gcp, AWS, Python"
26,14/03/22,30,Modeling Senior Analyst,Accenture,4,6,"SSRS, Analytics, SQL, Business Intelligence, Business Analytics, SQL Queries, Advanced Excel, Macros, Sales Analytics, VBA, Business Operations, Data Visualization, Dashboards"
27,14/03/22,30,Modeling Senior Analyst,Accenture,4,6,"R, Analytics, Python, Secondary, Research, Data Analysis, Time Series, Data Analytics, Statistics, Cluster Analysis"
28,14/03/22,30,Modeling Specialist,Accenture,6,8,"Analytics, Power Bi, Qlik View, R, Advanced Analytics, Time Series, Data Visualization, Data Analytics, Machine Learning, Statistics, Python, Cluster Analysis"
29,14/03/22,30,Radar Analyst,Huquo Consulting,2,7,"Predictive Modeling, Emblem, Radar, Data Privacy Management, SAS, Data Manipulation, RADAR Algorithm, Claim Analysis, Data Analytics, SAS Macros, Macros"
30,14/03/22,30,Data Scientist,Huquo Consulting,1,6,"Data Science, Spark, Python, Data Science, PMP, NLP, Project Management, Data Scientist, Data Management, Neural Networks, PMI, CSM/CSPO"
31,14/03/22,30,Applied Intelligence,Accenture,1,3,"Applied Intelligence, Retail Analytics, Python, Predictive Modeling, R, SAS SQL, Data Analysis, Tableau, Decision Trees, Machine Learning"
32,14/03/22,30,Senior Business Analyst,Huquo Consulting,3,6,"SAS, Oracle, SQL, Business Analyst, RDBMS, Congnos, Qlikview, Tableau, Teradata"
33,14/03/22,30,Senior Business Analyst,Huquo Consulting,2,5,"Scala, Big Data, Spark, Java, SAS, Business Analyst, Hadoop, Enterprise Business Intelligence, Analytics, Mapreduce, Hive, Cloud, Data Visualization"
34,14/03/22,30,Data Scientist,Talpro,3,8,"NLP, Spark, Python, Data Scientist, Hadoop, Tableau, Data Analytics, SQL"
35,14/03/22,30,Data Scientist,Talpro,1,6,"NLP, Hadoop, Sentiment Analysis, Data Science, Data Scinetist, Data Management, Data Mining, Data Visualization, Predictive Analytics, python"
36,14/03/22,30,Machine Learning Researcher,Accubits Technologies,3,8,"C++, Machine Learning, Python, Pattern Recognition, NLP, Classification Algorithm, Clustering, Deep learning"
37,14/03/22,30,Predictive Analytics,Accenture,7,11,"Publishine, Architecture, Data Modeling, Artificial Intelligence, Consulting, Machine Learning, Data Mining, Predictive Analytics, SQL, Python"
38,14/03/22,30,Applied Intelligence,Accenture,3,6,"Usage, Networking, Analytical, Artificial Intellingence, Consulting, Machine Learning, Cloud, Manager Technology, Professional Services, Analytics"
39,14/03/22,30,Data Analyst,The Gem And Jewellery Export Promotion Council,7,12,"SAP, Power Bi, MIS, Data Analysis, Tableau, Statistical Data Analysis"
40,14/03/22,30,Business Analyst,Support Star Corporate Services,6,9,"Tableau, Python, SQL, Insight Generation, Insight Creation, Story Telling, Data Extraction, Data Visualization, Business Analysis, Stakeholer Management"
41,14/03/22,30,Marketing Operations Analyst,Support Star Corporate Services,3,5,"Data Extraction, Python, SQL, Power Bi, Data Analysis, Data Visualization, Tableau"
42,14/03/22,30,India Business Ops,Nokia,10,15,"Change Management, Sales, Bloomberg, Finance, Financial Planning, Sales Forecasting, CNS, Operations, Forecasting, Business Operations"
43,14/03/22,30,Consultant,Revitas Inc. ,2,5,"Semiconductor, SAP, Siebel, manager Quality Assurance, Process Improvement, Pharma, Gap Analysis, Life Science, Business Process Modeling, Oracle"
44,14/03/22,30,Data Analyst,Ebizon,1,3,"Data Analysis, Consulting, Video Conferencing, E-Commerce, Data Analyst, Customer Services, Microsoft, Technology Operations, SQL, Data Extraction"
45,14/03/22,30,Business Analyst,Doubledutch,5,10,"business Process, System Testing, Production Support, Fixed Assets, Analytical, Integration Testing, Cash Management, Oracle Financials, Oracle, SQL"
46,14/03/22,30,Business Intelligence Specialist,Intel,3,6,"Computer Science, Data Analysis, Machine Learning, Perl, SSIS, Business intelligence, Data Mining, MATLAB, Analytics, Python"
47,14/03/22,30,Senior Data Analyst,RB Holdings Private Limited,2,6,"Procurement, Automation, Change Management, SAP, Healthcare, SCM, MATLAB, Analytics, SQL, Python"
48,14/03/22,30,Manager Decision Science,Uber,2,5,"Produce Management, Computer Science, Business Analytics, Analytical, Machine Learning, Agile, MATLAB, Monitoring, SQL, Python"
49,14/03/22,30,Business Systems Analyst,Uber,1,4,"Post Production, Business System Analyst, O2C, Production Support, Business Analysis, Finanacial Accounting, Consulting, System Design, SQL, Business Operations"
50,14/03/22,30,Business Systems Analyst,Uber,1,3,"Business Process, Business System Analyst, Business Analysis, Consulting, System Design, Data Integrity, User acceptance Testing, SQL, Auditing, Business Operations"
51,14/03/22,30,Senior Marketing Analyst,Greytip Software,2,4,"Computer Science, Interpersonal Skills, Web Analytics, Analytical, Diversity And Inclusion, Cloud, Adobe, Marketing Analyst, Statistics, SQL"
52,14/03/22,30,Sr Engineer,Gartner,3,5,"Linux, Networking, Development Manager, Shell Csripting, DNS, HTTP, SSL, Analytics, Monitoring, Recruitment"
53,14/03/22,30,Business Analyst,Avesta Computers,12,22,"Analytical Skills, Due Diligence, Development Testing, Business Analyst, Project Management, Product Analysis, Business Process Mapping, Scrum, Test Cases, SQL"
54,14/03/22,30,Analyst,Idfc First Bank,1,4,"Rural Banking, Usage, Senior Analyst, MIS, Analytical, Business Analytics, Banking, Banking Products, Financial Services, Monitoring"
55,14/03/22,30,Reserch Analyst,CRU International ,0,4,"Mining, Economics, Analytical Skills, Excel, Analytical, Consulting, IT skills, Data Collection, Metallurgy, Logistics"
56,14/03/22,30,Project Manager,Bafflesol Technologies,3,8,"Printing, PMI ACP, Usage, Web Technologies, Broadcasting, Management, Advertising, Monitoring"
57,14/03/22,30,Technical Architect,VU Services,7,12,"Java, Hiberate, Domain Drive, Spring, Api Based Architecture, AWS, Devops, Microservices, distributed computing, cloud App Stack, Kubernetes, Docker"
58,14/03/22,10,Data Analyst,Impetus Hr Consultants,2,7,"Data Analysis, R Programming, Python, Statistical Tools, Statistical Analysis, Statistics, Analytics"
59,14/03/22,12,Associate Data Analyst,Coolboots Media ,2,4,"Excel, Analysis, Data Analysis, Advanced Excel, Data Analytics, Macros, Analytics, SQL"
60,14/03/22,30,Data Analyst,Samaira HR Solutions,2,5,"Apptio, Excel, Process Management, Project Management, Advanced Excel, Data Analytics"
61,14/03/22,30,Senior Data Analyst,Talent5oo Tech (India),4,8,"Data Storytelling, SQL"
62,14/03/22,30,Data Engineer,Talent5oo Tech (India),4,7,"Pyspark, Datalake"
63,14/03/22,30,Machine Learning,Talent5oo Tech (India),1,3,"Azure, Machine Learning, Python"
64,14/03/22,30,Data Science,A1 Selectors,3,6,"Data Science, NLP, Artificial Intelligence, SCALA, HADOOP, Spark, Machine Learning, Python"
65,14/03/22,30,Sr. Specialist Data Analytics,Samaira HR Solutions,5,8,"QlikView, Data Analytics, SQL"
66,14/03/22,30,Data Scientist,Talent5oo Tech (India),5,8,"Data Science, Marketing Mix Modeling, Python"
67,14/03/22,30,Data Analyst,Samaira HR Solutions,2,5,"Qlik Sense, Claims, Database Handling, Insurance, Qlikview, Tableau, Data Analytics, Operational Activities, AnalyticsReporting, SQL, Scripting"
68,14/03/22,39,Machine Learning,Mastermind Network,4,6,"Tensorflow, Pytorch, Deep Learning, Python, Data Science, Artificial Intelligence, Decision Trees, Natural Language Processing, Maching Learning, Analytics, Data Scientist"
69,14/03/22,30,Managed Services Consultant,Springlr,2,6,"Career Development, Media Management, Managed Services, Social Media, Consulting, Customer Experience Management, Welness, Private Cloud, Digital transformation, Analytics"
70,14/03/22,30,Business Data Analyst,Amplify Analytix India,3,5,"Tableau, PDF, Data Science, Business Data Analyst, Analytical, Statistical Software, Spss, International Clients, Analytics, Python"
71,14/03/22,30,Business Analyst,WeblinkIndia Net,1,6,"Station, Strategic Management, Project Coordinator, Business AnaManagement Consulting, Corporate Planning, Inspection"
72,14/03/22,30,Data Analyst,Capco,3,6,"Relationship Management, Data Analysis, SAS, Business Analysis, Risk Assessment, Data Quality, Investment Banking, Asset Management, Financial Services, Core Banking"
73,14/03/22,30,Business Analyst,NeosAlpha India,2,5,"Application Support, Business Analyst, UML, Business Analysis, Analytical, Project Planning, Test Cases, Powerpoint, Information Technology, Operations"
74,14/03/22,30,Business Analyst,Jobscubicle,7,12,"Customer Analytics, Marketing Analytics, Customer Marketing, Bfsi, Investment Research, Senior Business Analyst, Market Research, Business Intelligence, Python, Data Interpretation"
75,14/03/22,30,Business Analyst,Kimberly-Clark Lever Limited,3,6,"SAP, C, Networking, SNP, Supply Chain Planning, Business Planning, Technical Leadership, Application Development, SCM, Supply Network Planning"
76,14/03/22,30,Business Analyst,Data Infovision,2,5,"E-Learning, Email, Business Analysis, Human Resource Development, Internet Research, Social Networking, Business Planning, Outsourcing, Real Estate, System Snalysis"
77,14/03/22,30,Senior Business Analyst,KlickSkill,3,8,"Estimation, Microsoft Project, Accounts, Analysis, Conceptualization, Rfp"
78,14/03/22,30,Senior Business Analyst,KlickSkill,3,8,"Estimation, Microsoft Project, Solutions, Presentation Skills, Accounts, Conceptualization, Rfp"
79,14/03/22,27,Healthcare,Apicalgo Consultancy,1,2,"R, Clinical Research, SAS, Biostatistician, GCP, Statistical Interpretation, Statistical Analysis"
80,14/03/22,26,Manufacturing Consulting,Serving Skill,5,10,"Supply Chain Analytics, Supply Chain Consulting, R, Excel, Power Bi, Data Visualization, Tableau, SQL, Python"
81,14/03/22,26,Business Analyst,Serving Skill,8,10,"Requirement Gathering, User Stories, Business Analysis, Requirements Management, IT Business Analyst, Program Management, Data Quality, Technology Solutions, Design Thinking, Project Life Cycle"
82,14/03/22,26,Business Intelligence,Serving Skill,12,14,"Business intelligence, Power BI, Tableau, Visualization, R, Jaspersoft, Cloud, Data Warehousing, Spark, AWS, Python"
83,14/03/22,30,Product Analyst,Sharechat,1,2,"Excel, SAS, Database Design Development, Business Data Analyst, Analytical Skills, Etl Frameworks, Data Mining, Statistics, Report Writing, SQL"
84,14/03/22,30,HR Systems,Lowes Services India,4,6,"Supply Chain, Product Management, Business services, Process Improvement, Financial Planning, Strategic Sourcing, Flex, Deployment, Merchandising, Business Operations"
85,14/03/22,30,Senior Business Analyst,MilliporeSigma,4,9,"Root Cause Analysis, User Acceptance Testing, BusinessAnalyst, Mobile Applications, Debugging, Computeusiness Analysis"
86,14/03/22,30,Digital Analyst,MilliporeSigma,1,5,"Data Science, Customer Experience, Ecommerce, Digital Marketing, Root Cause, Statistica, Performance Analysis, Analytics, Business Case"
87,14/03/22,30,Business Analyst,Idfc First Bank,1,4,"Business Analyst, Architecture, Agile Project Management, UAT, Test Cases, Budgeting, Information Technology, Quality Documentation, Testing"
88,14/03/22,30,Senior Analyst,ION,2,5,"Corporate Strategy, Business Research, Secondary Research, Vba, Financial Research, Accounting, Data Analytics, Individual Contributor, Fixed Income, SQL"
89,14/03/22,30,Business Analyst,Easebuzz Private Limited,1,6,"business Strategy, Investment Banking, Business Analyst, Fintech, Project Management, Written Communication, Relationship Mangement, Problem Solving, Management Skills, Data Analytics"
90,14/03/22,30,Business Analyst,Quarks,4,8,"Business Process, QA, Prototype, Business Analyst, Design Development, Wireframing, Gap Analysis, Management, Testing"
91,14/03/22,30,Business Analyst,Paytm,1,3,"Excel, Business Analyst, Tableau, SQL"
92,14/03/22,30,Digital Marketing Specialist,Gartner,2,3,"Supply Chain, Telecom, Manager Quality Assurance, Development Manager, Coding, HTML, Digital Marketing, Information Technology, Analysis, Recruitment"
93,14/03/22,30,Salesforce BSA,Jade Global,4,8,"Computer Science, Training, Salesforce Administrator, Project Implementation, Business Analyst, Business Analysis, Analytical, Test Planning, System Design, Operations"
94,14/03/22,30,Business Systems Analyst,Jade Global,4,6,"Business System Analyst, Training, Report Generation, Change Management, MS Visio, Process Documentation, Project Management, Gap Analysis, Management, Testing"
95,14/03/22,30,Senior Analyst,Hinduja Global,6,11,"Process Flow, Rpa Development, Automation Anywhere, Use Cases, Business Process, Lean Six Sigma, Uipath, Robotic Process Automation, Test Cases, Blue Prism"
96,14/03/22,30,Business Intelligence Engineer,Ani Technologies,3,7,"Business Analysis, Project Management, Business Analytics, Anatical, Data Processing, Business Intelligence, Data Mining, Operations, Financial Services, SQL"
97,14/03/22,30,Business Intelligence Engineer,Ani Technologies,3,6,"Computer Science, Microstrategy, Business Analytics, Analytical, Data Processing, Data Integrity, Business Intelligence, Operations, Financial Services, SQL"
98,14/03/22,30,Business Analyst,Ani Technologies,2,5,"Computer Science, SAS, Coding, Analytical, SPSS, Data Mining, Business Intelligence, Analytics, SQL, Python"
99,14/03/22,30,Business Analyst,Ani Technologies,2,5,"Business Analyst, Scalability, Performance Improvement"
100,14/03/22,27,Business Analyst,Fulcrum Worldwide Software,7,10,Business Analysis
